Symbol,Company,Sector,Headquarters
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia"
IBM,IBM,Information Technology,"Armonk, New York"
IEX,IDEX Corporation,Industrials,"Northbrook, Illinois"
IDXX,Idexx Laboratories,Health Care,"Westbrook, Maine"
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois"
INCY,Incyte,Health Care,"Wilmington, Delaware"
IR,Ingersoll Rand,Industrials,"Davidson, North Carolina"
PODD,Insulet Corporation,Health Care,"Acton, Massachusetts"
INTC,Intel,Information Technology,"Santa Clara, California"
IBKR,Interactive Brokers,Financials,"Greenwich, Connecticut"
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia"
IFF,International Flavors & Fragrances,Materials,"New York City, New York"
IP,International Paper,Materials,"Memphis, Tennessee"
INTU,Intuit,Information Technology,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California"
IVZ,Invesco,Financials,"Atlanta, Georgia"
INVH,Invitation Homes,Real Estate,"Dallas, Texas"
IQV,IQVIA,Health Care,"Durham, North Carolina"
IRM,Iron Mountain,Real Estate,"Portsmouth, New Hampshire"
JBHT,J.B. Hunt,Industrials,"Lowell, Arkansas"
JBL,Jabil,Information Technology,"St. Petersburg, Florida"
JKHY,Jack Henry & Associates,Financials,"Monett, Missouri"
J,Jacobs Solutions,Industrials,"Dallas, Texas"
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey"
JCI,Johnson Controls,Industrials,"Cork, Ireland"
JPM,JPMorgan Chase,Financials,"New York City, New York"
KVUE,Kenvue,Consumer Staples,"Skillman, New Jersey"
KDP,Keurig Dr Pepper,Consumer Staples,"Burlington, Massachusetts"
KEY,KeyCorp,Financials,"Cleveland, Ohio"
KEYS,Keysight Technologies,Information Technology,"Santa Rosa, California"
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas"
KIM,Kimco Realty,Real Estate,"Jericho, New York"
KMI,Kinder Morgan,Energy,"Houston, Texas"
KKR,KKR & Co.,Financials,"New York City, New York"
KLAC,KLA Corporation,Information Technology,"Milpitas, California"
KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Consumer Staples,"Cincinnati, Ohio"
LHX,L3Harris,Industrials,"Melbourne, Florida"
LH,Labcorp,Health Care,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,"Fremont, California"
LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada"
LDOS,Leidos,Industrials,"Reston, Virginia"
LEN,Lennar,Consumer Discretionary,"Miami, Florida"
LII,Lennox International,Industrials,"Richardson, Texas"
LLY,Lilly (Eli),Health Care,"Indianapolis, Indiana"
LIN,Linde plc,Materials,"Guildford, United Kingdom"
LYV,Live Nation Entertainment,Communication Services,"Beverly Hills, California"
LMT,Lockheed Martin,Industrials,"Bethesda, Maryland"
L,Loews Corporation,Financials,"New York City, New York"
LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina"
LULU,Lululemon Athletica,Consumer Discretionary,"Vancouver, Canada"
LITE,Lumentum,Information Technology,"San Jose, California"
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands"
MTB,M&T Bank,Financials,"Buffalo, New York"
MPC,Marathon Petroleum,Energy,"Findlay, Ohio"
MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland"
MRSH,Marsh McLennan,Financials,"New York City, New York"
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina"
MAS,Masco,Industrials,"Livonia, Michigan"
MA,Mastercard,Financials,"Harrison, New York"
MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland"
MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois"
MCK,McKesson Corporation,Health Care,"Irving, Texas"
MDT,Medtronic,Health Care,"Galway, Ireland"
MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey"
META,Meta Platforms,Communication Services,"Menlo Park, California"
MET,MetLife,Financials,"New York City, New York"
MTD,Mettler Toledo,Health Care,"Columbus, Ohio"
MGM,MGM Resorts,Consumer Discretionary,"Paradise, Nevada"
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona"
MU,Micron Technology,Information Technology,"Boise, Idaho"
MSFT,Microsoft,Information Technology,"Redmond, Washington"
MAA,Mid-America Apartment Communities,Real Estate,"Memphis, Tennessee"
MRNA,Moderna,Health Care,"Cambridge, Massachusetts"
TAP,Molson Coors Beverage Company,Consumer Staples,"Chicago, Illinois"
MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois"
MPWR,Monolithic Power Systems,Information Technology,"Kirkland, Washington"
MNST,Monster Beverage,Consumer Staples,"Corona, California"
MCO,Moody's Corporation,Financials,"New York City, New York"
MS,Morgan Stanley,Financials,"New York City, New York"
MOS,Mosaic Company (The),Materials,"Tampa, Florida"
MSI,Motorola Solutions,Information Technology,"Chicago, Illinois"
MSCI,MSCI Inc.,Financials,"New York City, New York"
NDAQ,"Nasdaq, Inc.",Financials,"New York City, New York"
NTAP,NetApp,Information Technology,"San Jose, California"
NFLX,Netflix,Communication Services,"Los Gatos, California"
NEM,Newmont,Materials,"Denver, Colorado"
NWSA,News Corp (Class A),Communication Services,"New York City, New York"
NWS,News Corp (Class B),Communication Services,"New York City, New York"
NEE,NextEra Energy,Utilities,"Juno Beach, Florida"
NKE,"Nike, Inc.",Consumer Discretionary,"Washington County, Oregon"
NI,NiSource,Utilities,"Merrillville, Indiana"
NDSN,Nordson Corporation,Industrials,"Westlake, Ohio"
NSC,Norfolk Southern,Industrials,"Atlanta, Georgia"
NTRS,Northern Trust,Financials,"Chicago, Illinois"
NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia[3]"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami-Dade County, Florida[4]"
NRG,NRG Energy,Utilities,"Houston, Texas"
NUE,Nucor,Materials,"Charlotte, North Carolina"
NVDA,Nvidia,Information Technology,"Santa Clara, California"
NVR,"NVR, Inc.",Consumer Discretionary,"Reston, Virginia"
NXPI,NXP Semiconductors,Information Technology,"Eindhoven, Netherlands"
ORLY,O’Reilly Automotive,Consumer Discretionary,"Springfield, Missouri"
OXY,Occidental Petroleum,Energy,"Houston, Texas"
ODFL,Old Dominion,Industrials,"Thomasville, North Carolina"
OMC,Omnicom Group,Communication Services,"New York City, New York"
ON,ON Semiconductor,Information Technology,"Phoenix, Arizona"
OKE,Oneok,Energy,"Tulsa, Oklahoma"
ORCL,Oracle Corporation,Information Technology,"Austin, Texas"
OTIS,Otis Worldwide,Industrials,"Farmington, Connecticut"
PCAR,Paccar,Industrials,"Bellevue, Washington"
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois"
PLTR,Palantir Technologies,Information Technology,"Aventura, Florida"
PANW,Palo Alto Networks,Information Technology,"Santa Clara, California"
PSKY,Paramount Skydance Corporation,Communication Services,"Los Angeles, California"
PH,Parker Hannifin,Industrials,"Cleveland, Ohio"
PAYX,Paychex,Industrials,"Penfield, New York"
PYPL,PayPal,Financials,"San Jose, California"
PNR,Pentair,Industrials,"Worsley, United Kingdom"
PEP,PepsiCo,Consumer Staples,"Purchase, New York"
PFE,Pfizer,Health Care,"New York City, New York"
PCG,PG&E Corporation,Utilities,"Oakland, California"
PM,Philip Morris International,Consumer Staples,"New York City, New York"
PSX,Phillips 66,Energy,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona"
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania"
POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana"
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania"
PPL,PPL Corporation,Utilities,"Allentown, Pennsylvania"
PFG,Principal Financial Group,Financials,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio"
PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio"
PLD,Prologis,Real Estate,"San Francisco, California"
